-----------The result of FCFS dispatch-----------
Process_name    Arrival_time    Service_time    Deadline    Wait_time    Turnaround_time    Deadline_Met
 P0               0               16              25          0           16                 1
 P1               6               18              30          10          28                 1
 P2               21              3               40          13          16                 1
 P3               36              4               45          1           5                  1
 P4               42              7               64          0           7                  1
 P5               44              6               63          5           11                 1
 P6               48              11              69          7           18                 1
 P7               67              17              87          0           17                 1
 P8               70              1               83          14          15                 1
 P9               84              3               87          1           4                  1
 P10              95              2               114         0           2                  1
 P11              104             5               110         0           5                  1
 P12              120             10              149         0           10                 1
 P13              120             16              152         10          26                 1
 P14              139             14              165         7           21                 1
 P15              153             15              182         7           22                 1
 P16              164             4               177         11          15                 1
 P17              166             6               191         13          19                 1
 P18              184             10              196         1           11                 1
 P19              197             13              215         0           13                 1

-----------The result of SPN dispatch-----------
Process_name    Arrival_time    Service_time    Deadline    Wait_time    Turnaround_time    Deadline_Met
 P0               0               16              25          0           16                 1
 P1               6               18              30          10          28                 1
 P2               21              3               40          13          16                 1
 P3               36              4               45          1           5                  1
 P4               42              7               64          0           7                  1
 P5               44              6               63          5           11                 1
 P6               48              11              69          7           18                 1
 P7               67              17              87          0           17                 1
 P8               70              1               83          14          15                 1
 P9               84              3               87          1           4                  1
 P10              95              2               114         0           2                  1
 P11              104             5               110         0           5                  1
 P12              120             10              149         0           10                 1
 P13              120             16              152         10          26                 1
 P14              139             14              165         7           21                 1
 P15              153             15              182         7           22                 1
 P16              164             4               177         11          15                 1
 P17              166             6               191         13          19                 1
 P18              184             10              196         1           11                 1
 P19              197             13              215         0           13                 1

-----------The result of SRTN dispatch-----------
Process_name    Arrival_time    Service_time    Deadline    Wait_time    Turnaround_time    Deadline_Met
 P0               0               16              25          0           16                 1
 P1               6               18              30          13          31                 1
 P2               21              3               40          0           3                  1
 P3               36              4               45          1           5                  1
 P4               42              7               64          0           7                  1
 P5               44              6               63          5           11                 1
 P6               48              11              69          7           18                 1
 P7               67              17              87          1           18                 1
 P8               70              1               83          0           1                  1
 P9               84              3               87          1           4                  1
 P10              95              2               114         0           2                  1
 P11              104             5               110         0           5                  1
 P12              120             10              149         0           10                 1
 P13              120             16              152         10          26                 1
 P14              139             14              165         7           21                 1
 P15              153             15              182         17          32                 1
 P16              164             4               177         0           4                  1
 P17              166             6               191         2           8                  1
 P18              184             10              196         1           11                 1
 P19              197             13              215         0           13                 1

-----------The result of Deadline dispatch-----------
Process_name    Arrival_time    Service_time    Deadline    Wait_time    Turnaround_time    Deadline_Met
 P0               0               16              25          9           25                 1
 P1               6               18              30          0           0                  0
 P2               21              3               40          4           7                  1
 P3               36              4               45          0           4                  1
 P4               42              7               64          11          18                 1
 P5               44              6               63          8           14                 1
 P6               48              11              69          7           18                 1
 P7               67              17              87          3           20                 1
 P8               70              1               83          10          11                 1
 P9               84              3               87          0           0                  0
 P10              95              2               114         0           2                  1
 P11              104             5               110         0           5                  1
 P12              120             10              149         12          22                 1
 P13              120             16              152         10          26                 1
 P14              139             14              165         7           21                 1
 P15              153             15              182         11          26                 1
 P16              164             4               177         6           10                 1
 P17              166             6               191         17          23                 1
 P18              184             10              196         1           11                 1
 P19              197             13              215         0           13                 1
