student@fit-vm:~/Desktop/Week6/LAB03$ gcc fork2.c -o fork
student@fit-vm:~/Desktop/Week6/LAB03$ ./fork
Message from P at the 0th iteration
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 - 25563 -      ?        00:00:01 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 I     0       3       2  0  60 -20 -     0 -      ?        00:00:00 rcu_gp
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 rcu_par_gp
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-events_highpri
1 I     0       9       2  0  60 -20 -     0 -      ?        00:00:00 mm_percpu_wq
1 S     0      10       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_
1 S     0      11       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace
1 S     0      12       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/0
1 I     0      13       2  0  80   0 -     0 -      ?        00:00:00 rcu_sched
1 S     0      14       2  0 -40   - -     0 -      ?        00:00:00 migration/0
1 S     0      15       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      16       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
1 S     0      17       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/1
1 S     0      18       2  0   9   - -     0 -      ?        00:00:00 idle_inject/1
1 S     0      19       2  0 -40   - -     0 -      ?        00:00:00 migration/1
1 S     0      20       2  0  80   0 -     0 -      ?        00:00:00 ksoftirqd/1
1 I     0      22       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:0H-events_highpri
5 S     0      23       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      24       2  0  60 -20 -     0 -      ?        00:00:00 netns
1 I     0      25       2  0  60 -20 -     0 -      ?        00:00:00 inet_frag_wq
1 S     0      26       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      27       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0      28       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      29       2  0  60 -20 -     0 -      ?        00:00:00 writeback
1 S     0      30       2  0  80   0 -     0 -      ?        00:00:00 kcompactd0
1 S     0      31       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0      32       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0      79       2  0  60 -20 -     0 -      ?        00:00:00 kintegrityd
1 I     0      80       2  0  60 -20 -     0 -      ?        00:00:00 kblockd
1 I     0      81       2  0  60 -20 -     0 -      ?        00:00:00 blkcg_punt_bio
1 I     0      82       2  0  60 -20 -     0 -      ?        00:00:00 tpm_dev_wq
Message from P at the 1th iteration
1 I     0      83       2  0  60 -20 -     0 -      ?        00:00:00 ata_sff
1 I     0      84       2  0  60 -20 -     0 -      ?        00:00:00 md
1 I     0      85       2  0  60 -20 -     0 -      ?        00:00:00 edac-poller
1 I     0      86       2  0  60 -20 -     0 -      ?        00:00:00 devfreq_wq
1 S     0      87       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 I     0      89       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H-kblockd
1 S     0      91       2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0      92       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthrea
1 I     0      94       2  0  60 -20 -     0 -      ?        00:00:00 kthrotld
1 I     0      95       2  0  60 -20 -     0 -      ?        00:00:00 acpi_thermal_pm
1 I     0      96       2  0  60 -20 -     0 -      ?        00:00:00 vfio-irqfd-clea
1 I     0      97       2  0  60 -20 -     0 -      ?        00:00:00 ipv6_addrconf
1 I     0     106       2  0  60 -20 -     0 -      ?        00:00:00 kstrp
1 I     0     109       2  0  60 -20 -     0 -      ?        00:00:00 zswap-shrink
1 I     0     110       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u5:0
1 I     0     115       2  0  60 -20 -     0 -      ?        00:00:00 charger_manager
1 I     0     139       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:1H-kblockd
1 S     0     164       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0     166       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_0
1 S     0     168       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0     169       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_1
1 S     0     197       2  0  80   0 -     0 -      ?        00:00:00 jbd2/sda5-8
1 I     0     198       2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0     237       1  0  79  -1 - 13451 -      ?        00:00:00 systemd-journal
4 S     0     259       1  0  80   0 -  5997 -      ?        00:00:00 systemd-udevd
1 S     0     268       2  0  60 -20 -     0 -      ?        00:00:00 loop0
1 S     0     293       2  0  60 -20 -     0 -      ?        00:00:00 loop1
1 S     0     301       2  0  60 -20 -     0 -      ?        00:00:00 loop2
1 S     0     302       2  0  60 -20 -     0 -      ?        00:00:00 loop3
1 S     0     304       2  0  60 -20 -     0 -      ?        00:00:00 loop4
1 S     0     305       2  0  60 -20 -     0 -      ?        00:00:00 loop5
1 S     0     308       2  0  60 -20 -     0 -      ?        00:00:00 loop6
1 S     0     310       2  0  60 -20 -     0 -      ?        00:00:00 loop7
1 S     0     311       2  0  60 -20 -     0 -      ?        00:00:00 loop8
1 S     0     312       2  0  60 -20 -     0 -      ?        00:00:00 loop9
1 S     0     313       2  0  60 -20 -     0 -      ?        00:00:00 loop10
1 S     0     314       2  0  60 -20 -     0 -      ?        00:00:00 loop11
1 S     0     316       2  0  60 -20 -     0 -      ?        00:00:00 loop12
1 S     0     318       2  0  60 -20 -     0 -      ?        00:00:00 loop13
1 I     0     323       2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
1 I     0     336       2  0  60 -20 -     0 -      ?        00:00:00 cryptd
4 S   101     509       1  0  80   0 -  6009 -      ?        00:00:00 systemd-resolve
4 S   102     510       1  0  80   0 - 22565 -      ?        00:00:00 systemd-timesyn
4 S     0     542       1  0  80   0 - 59585 -      ?        00:00:00 accounts-daemon
4 S     0     543       1  0  80   0 -   637 -      ?        00:00:00 acpid
4 S     0     544       1  0  80   0 -  2042 -      ?        00:00:00 anacron
4 S   115     546       1  0  80   0 -  2133 -      ?        00:00:00 avahi-daemon
4 S     0     547       1  0  80   0 -  2355 -      ?        00:00:00 cron
4 S     0     548       1  0  80   0 -  7144 -      ?        00:00:00 cupsd
4 S   103     550       1  0  80   0 -  2493 -      ?        00:00:01 dbus-daemon
4 S     0     554       1  0  80   0 - 137230 -     ?        00:00:02 NetworkManager
4 S     0     560       1  0  80   0 - 20459 -      ?        00:00:00 irqbalance
4 S     0     567       1  0  80   0 -  9834 -      ?        00:00:00 networkd-dispat
4 S     0     572       1  0  80   0 - 60288 -      ?        00:00:00 polkitd
4 S   104     578       1  0  80   0 - 56134 -      ?        00:00:00 rsyslogd
Message from P at the 2th iteration
